Line	COSMIC_ID	Site	Histology
KYSE-450	907320	oesophagus	carcinoma
HARA	1240142	lung	carcinoma
OCI-AML5	1330983	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm
NCI-H1915	1240184	lung	carcinoma
JHOS-4	1480359	ovary	carcinoma
U-698-M	909777	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
EVSA-T	906862	breast	carcinoma
EJM	1297447	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
PCI-4B	1298531	upper_aerodigestive_tract	carcinoma
NCI-H716	908458	large_intestine	carcinoma
BC-1	910919	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
NCI-H1436	908469	lung	carcinoma
LNZTA3WT4	1240170	central_nervous_system	glioma
MC116	907799	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
LB2518-MEL	753579	skin	malignant_melanoma
NB(TU)1-10	1240181	autonomic_ganglia	neuroblastoma
NCI-H1975	924244	lung	carcinoma
HuO-3N1	909977	bone	osteosarcoma
KP-N-RT-BM-1	924189	autonomic_ganglia	neuroblastoma
SW1990	910907	pancreas	carcinoma
HT55	907287	large_intestine	carcinoma
VMRC-MELG	930301	skin	malignant_melanoma
ONS-76	909248	central_nervous_system	primitive_neuroectodermal_tumour-medulloblastoma
Ramos-2G6-4C10	910401	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
FU-OV-1	1240129	ovary	carcinoma
QIMR-WIL	910545	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm
RCC-JF	1524415	kidney	carcinoma
PC-3	905934	prostate	carcinoma
Hs939-T	1298144	skin	malignant_melanoma
23132-87	910924	stomach	carcinoma
LB771-HNC	753583	upper_aerodigestive_tract	carcinoma
TC-71	1240221	bone	Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour
BPH-1	924105	prostate	hyperplasia
OACp4C	1503362	oesophagus	carcinoma
EN	1240127	endometrium	carcinoma
NCI-H2009	724873	lung	carcinoma
MFE-280	908129	endometrium	carcinoma
HT-3	907068	cervix	carcinoma
HuCCT1	907069	biliary_tract	carcinoma
GMS-10	906873	central_nervous_system	glioma
BB30-HNC	753531	upper_aerodigestive_tract	carcinoma
RERF-LC-Sq1	1298538	lung	carcinoma
NTERA-2_cl_D1	908454	testis	germ_cell_tumour
A498	905948	kidney	carcinoma
GCIY	906869	stomach	carcinoma
KP-4	753572	pancreas	carcinoma
HCC-56	1290907	large_intestine	carcinoma
YAPC	909904	pancreas	carcinoma
CGTH-W-1	910568	thyroid	carcinoma
HO-1-u-1	753561	upper_aerodigestive_tract	carcinoma
NCI-H727	724855	lung	carcinoma
KLE	924187	endometrium	carcinoma
BB65-RCC	753533	kidney	carcinoma
SU-DHL-4	1331035	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
TOV-21G	1240222	ovary	carcinoma
BE-13	906763	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
IGR-1	907169	skin	malignant_melanoma
RCM-1	909263	large_intestine	carcinoma
OS-RC-2	909250	kidney	carcinoma
A253	906794	salivary_gland	carcinoma
EW-24	949168	bone	Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour
CHSA0011	1290767	bone	chondrosarcoma
RCH-ACV	1330994	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
KINGS-1	907279	central_nervous_system	glioma
DoTc2-4510	906843	cervix	carcinoma
CHL-1	910853	skin	malignant_melanoma
LU-135	713899	lung	carcinoma
BEN	753534	lung	carcinoma
CAS-1	910943	central_nervous_system	glioma
LS-513	907795	large_intestine	carcinoma
OCI-AML3	1290455	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm
HCC1500	1303900	breast	carcinoma
RCC-ER	1524417	kidney	carcinoma
SNU-C5	1674021	large_intestine	carcinoma
NCI-H64	688026	lung	carcinoma
NB6	949173	autonomic_ganglia	neuroblastoma
TE-4	1503371	oesophagus	carcinoma
NB-4	1323913	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm
H2591	1240131	pleura	mesothelioma
HCC-78	1290908	lung	carcinoma
NCI-H847	1240193	lung	carcinoma
OPM-2	909249	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
MZ1-PC	753595	pancreas	carcinoma
SW620	905962	large_intestine	carcinoma
NCI-H322M	905967	lung	carcinoma
NCI-H1092	687997	lung	carcinoma
AGS	906790	stomach	carcinoma
OE19	910079	oesophagus	carcinoma
KCL-22	1330931	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm
UM-UC-3	724838	urinary_tract	carcinoma
J82	753566	urinary_tract	carcinoma
SW948	909757	large_intestine	carcinoma
HOS	907060	bone	osteosarcoma
SK-MEL-5	905956	skin	malignant_melanoma
SNU-81	1660036	large_intestine	carcinoma
RC-K8	1330995	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
COLO-320-HSR	910569	large_intestine	carcinoma
KALS-1	907271	central_nervous_system	glioma
HTC-C3	924151	thyroid	carcinoma
RKO	909698	large_intestine	carcinoma
KASUMI-1	907275	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm
NCI-H2227	688018	lung	carcinoma
NCI-H820	1333019	lung	carcinoma
EKVX	905970	lung	carcinoma
M14	905975	skin	malignant_melanoma
TK10	905980	kidney	carcinoma
WSU-NHL	909785	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
AM-38	910933	central_nervous_system	glioma
OCUB-M	909256	breast	carcinoma
JHOS-2	1479995	ovary	carcinoma
NCI-H740	1331055	lung	carcinoma
MDA-MB-330	1330941	breast	carcinoma
NCI-H1395	684681	lung	carcinoma
COR-L303	1297438	lung	carcinoma
IST-MES1	907173	pleura	mesothelioma
HO-1-N-1	924111	salivary_gland	carcinoma
HSC-3	907061	upper_aerodigestive_tract	carcinoma
ES8	949155	bone	Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour
NCI-H650	722066	lung	carcinoma
KNS-42	907282	central_nervous_system	glioma
Hs766T	1298141	pancreas	carcinoma
ESO51	1503367	oesophagus	carcinoma
RT-112	909704	urinary_tract	carcinoma
MSTO-211H	908152	pleura	mesothelioma
Capan-2	910915	pancreas	carcinoma
GR-ST	906877	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
KYAE-1	1503368	oesophagus	carcinoma
8305C	906795	thyroid	carcinoma
CP67-MEL	949092	skin	malignant_melanoma
CL-11	1290769	large_intestine	carcinoma
PANC-04-03	1298476	pancreas	carcinoma
HT-115	907289	large_intestine	carcinoma
TE-8	753623	oesophagus	carcinoma
DIFI	1789883	large_intestine	carcinoma
JVM-3	907270	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
UACC-812	910910	breast	carcinoma
HC-1	907044	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
IA-LM	910779	lung	carcinoma
LN-18	1240168	central_nervous_system	glioma
SU-DHL-10	1331033	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
MS-1	753594	lung	carcinoma
SK-HEP-1	909719	liver	carcinoma
OE33	910549	oesophagus	other
PWR-1E	1330993	prostate	other
NCI-H838	910399	lung	carcinoma
EW-3	949161	bone	Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour
SW954	924247	vulva	carcinoma
ML-2	908141	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm
DU-145	905935	prostate	carcinoma
NCI-H841	1240192	lung	carcinoma
CAL-120	906826	breast	carcinoma
SCC-25	910701	upper_aerodigestive_tract	carcinoma
NB69	908440	autonomic_ganglia	neuroblastoma
MOG-G-UVW	908145	central_nervous_system	glioma
EHEB	906854	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
HUH-6-clone5	907070	liver	carcinoma
AN3-CA	910781	endometrium	carcinoma
SCaBER	1299051	urinary_tract	carcinoma
NCI-H28	908470	pleura	mesothelioma
CaR-1	924108	large_intestine	carcinoma
HCC38	749717	breast	carcinoma
SR	905965	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
SU-DHL-6	1331037	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
SW1710	909749	urinary_tract	carcinoma
G-402	907298	soft_tissue	leiomyoblastoma
MCAS	1240171	ovary	carcinoma
COLO-792	906814	skin	malignant_melanoma
NCI-H1993	908476	lung	carcinoma
RERF-GC-1B	1240209	stomach	carcinoma
NCI-H1304	753599	lung	carcinoma
SK-MEL-24	909725	skin	malignant_melanoma
OCI-LY-19	1330984	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
L-363	924239	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
MDA-MB-157	925338	breast	carcinoma
CHP-212	906820	autonomic_ganglia	neuroblastoma
BV-173	910710	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm
PANC-02-03	1298475	pancreas	carcinoma
HCC-366	1240144	lung	carcinoma
WM35	1299080	skin	malignant_melanoma
LN-229	1240169	central_nervous_system	glioma
KYSE-220	1240167	oesophagus	carcinoma
SCC-9	909709	upper_aerodigestive_tract	carcinoma
SNU-C2B	909740	large_intestine	carcinoma
PCI-38	1240205	upper_aerodigestive_tract	carcinoma
OE21	1298359	oesophagus	carcinoma
RPMI-8866	910544	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm
IPC-298	907171	skin	malignant_melanoma
HDQ-P1	1290922	breast	carcinoma
MDA-MB-468	908123	breast	carcinoma
647-V	906797	urinary_tract	carcinoma
MDA-MB-436	1240172	breast	carcinoma
ES7	684059	bone	Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour
LN-405	910694	central_nervous_system	glioma
KYM-1	1240166	soft_tissue	rhabdomyosarcoma
MOLM-16	1330948	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm
PL4	1298533	pancreas	carcinoma
IST-MEL1	907172	skin	malignant_melanoma
COLO-783	1240125	skin	malignant_melanoma
VAL	1331048	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
SUP-HD1	1331039	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
NCI-H630	908482	large_intestine	carcinoma
GB-1	687568	central_nervous_system	glioma
EC-GI-10	753555	oesophagus	carcinoma
SW1573	724878	lung	carcinoma
MOLT-4	905958	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
OCI-M1	1330985	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm
PANC-03-27	925346	pancreas	carcinoma
JJN-3	1327766	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
CTV-1	753548	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
RD	909264	soft_tissue	rhabdomyosarcoma
H2369	1290808	pleura	mesothelioma
TK	1331045	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
HOP-92	905973	lung	carcinoma
ES-2	1240128	ovary	carcinoma
D-566MG	946377	central_nervous_system	glioma
SNB19	905966	central_nervous_system	glioma
NCI-H520	908443	lung	carcinoma
TGW	910780	autonomic_ganglia	neuroblastoma
HCC1569	907046	breast	carcinoma
JHU-011	1240161	upper_aerodigestive_tract	carcinoma
TOV-112D	1299070	ovary	carcinoma
NCI-H211	1240189	lung	carcinoma
A2058	906792	skin	malignant_melanoma
OACM5-1	1503363	oesophagus	carcinoma
IGR-37	1240153	skin	malignant_melanoma
P30-OHK	909252	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
KP-2	1298218	pancreas	carcinoma
NCI-H2405	687821	lung	carcinoma
HPAF-II	724869	pancreas	carcinoma
SF295	905985	central_nervous_system	glioma
SNU-475	909739	liver	carcinoma
SK-N-AS	724828	autonomic_ganglia	neuroblastoma
ME-1	1330942	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm
DU-4475	906844	breast	carcinoma
P12-ICHIKAWA	909251	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
NCI-ADR-RES	905987	ovary	carcinoma
KP-N-YS	946363	autonomic_ganglia	neuroblastoma
CAL-62	906828	thyroid	carcinoma
ASH-3	1290722	thyroid	carcinoma
HEC-1	907051	endometrium	carcinoma
NMC-G1	908449	central_nervous_system	glioma
LoVo	907790	large_intestine	carcinoma
RPMI-7951	910903	skin	malignant_melanoma
BHY	753535	upper_aerodigestive_tract	carcinoma
U-87-MG	687590	central_nervous_system	glioma
H3118	1240140	upper_aerodigestive_tract	carcinoma
C32	906830	skin	malignant_melanoma
NCI-H345	688021	lung	carcinoma
KYSE-520	753575	oesophagus	carcinoma
MPP-89	908150	pleura	mesothelioma
NCI-H2291	724874	lung	carcinoma
YMB-1-E	1303911	breast	carcinoma
NCI-H2170	687815	lung	carcinoma
NOS-1	925345	bone	osteosarcoma
AU565	910704	breast	carcinoma
697	906800	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
L-428	907322	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
ES4	949156	bone	Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour
EW-1	949163	bone	Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour
RCC-AB	1524418	kidney	carcinoma
NCI-H1694	688006	lung	carcinoma
Hs-445	1322218	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
MHH-ES-1	908134	bone	Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour
NCI-H720	687600	lung	carcinoma
NALM-6	908158	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
H513	1240141	pleura	mesothelioma
SW1116	909746	large_intestine	carcinoma
D-423MG	946372	central_nervous_system	glioma
SNG-M	909735	endometrium	carcinoma
EW-13	949166	bone	Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour
MC-CAR	683665	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
SK-GT-2	1503364	stomach	carcinoma
D-502MG	946373	central_nervous_system	glioma
SiHa	930297	cervix	carcinoma
HEL	907053	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm
H2795	1290813	pleura	mesothelioma
IHH-4	1240154	thyroid	carcinoma
NCI-H2122	722046	lung	carcinoma
A431	910925	skin	carcinoma
JSC-1	1327769	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
NCI-H441	908460	lung	carcinoma
NCI-H82	688031	lung	carcinoma
OC-314	909257	ovary	carcinoma
KURAMOCHI	909975	ovary	carcinoma
OVMIU	1240200	ovary	carcinoma
ES5	684057	bone	Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour
NCI-H128	753597	lung	carcinoma
TE-1	753621	oesophagus	carcinoma
COLO-680N	906817	oesophagus	carcinoma
HCC1187	749711	breast	carcinoma
LC4-1	907787	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
SU-DHL-16	1331034	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
T98G	687586	central_nervous_system	glioma
HD-MY-Z	907050	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
SW626	909753	ovary	carcinoma
KM-H2	909976	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
GI-ME-N	906872	autonomic_ganglia	neuroblastoma
HSC-4	907062	upper_aerodigestive_tract	carcinoma
MEG-01	908126	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm
ML-1	1240178	thyroid	carcinoma
FTC-133	906864	thyroid	carcinoma
EPLC-272H	753556	lung	carcinoma
NCI-H2228	687816	lung	carcinoma
RT4	687455	urinary_tract	carcinoma
MFM-223	910948	breast	carcinoma
Hs683	1240150	central_nervous_system	glioma
K-562	905940	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm
BALL-1	910705	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
WM793B	1299081	skin	malignant_melanoma
8505C	924102	thyroid	carcinoma
SKG-IIIa	930298	cervix	carcinoma
SCC-4	910904	upper_aerodigestive_tract	carcinoma
EBC-1	753554	lung	carcinoma
LS-123	907792	large_intestine	carcinoma
JHH-7	1240160	liver	carcinoma
CAMA-1	946382	breast	carcinoma
MZ2-MEL	971777	skin	malignant_melanoma
42-MG-BA	687561	central_nervous_system	glioma
KYSE-270	907319	oesophagus	carcinoma
CFPAC-1	906821	pancreas	carcinoma
SNU-398	1240217	liver	carcinoma
H4	907042	central_nervous_system	glioma
MES-SA	908127	soft_tissue	sarcoma
CAL-54	910952	kidney	carcinoma
NCI-H2347	687820	lung	carcinoma
HuH-7	907071	liver	carcinoma
FU97	1290806	stomach	carcinoma
LOXIMVI	905974	skin	malignant_melanoma
HCC2157	749715	breast	carcinoma
ACHN	905950	kidney	carcinoma
HGC-27	907055	stomach	carcinoma
SW962	909758	vulva	carcinoma
KYSE-410	753574	oesophagus	carcinoma
PF-382	909260	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
LP-1	907791	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
H2818	1290814	pleura	mesothelioma
A549	905949	lung	carcinoma
ChaGo-K-1	687596	lung	carcinoma
LU-165	753589	lung	carcinoma
PL18	1240208	pancreas	carcinoma
A2780	906804	ovary	carcinoma
NCI-H1581	908471	lung	carcinoma
HCC1419	907045	breast	carcinoma
MFE-319	1240174	endometrium	carcinoma
CW-2	910554	large_intestine	carcinoma
PC-14	753608	lung	carcinoma
NCI-H524	908483	lung	carcinoma
RH-1	971773	soft_tissue	rhabdomyosarcoma
ES3	684055	bone	Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour
NOMO-1	908451	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm
LAMA-84	907783	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm
PEO1	1480372	ovary	carcinoma
SK-ES-1	684072	bone	Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour
no-10	908452	central_nervous_system	glioma
CRO-AP2	906807	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
SK-LMS-1	909720	soft_tissue	sarcoma
SCC-15	910911	upper_aerodigestive_tract	carcinoma
OAW-28	946360	ovary	carcinoma
KO52	1330932	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm
LB2241-RCC	753578	kidney	carcinoma
DAN-G	1290797	pancreas	carcinoma
GOTO	906875	autonomic_ganglia	neuroblastoma
SJRH30	909716	soft_tissue	rhabdomyosarcoma
NCI-H835	753607	lung	carcinoid-endocrine_tumour
SW872	909756	soft_tissue	liposarcoma
NCI-H196	1240186	lung	carcinoma
SUP-B15	1247871	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
Raji	909262	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
CTB-1	949088	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
JEG-3	907176	placenta	choriocarcinoma
SW1271	1299062	lung	carcinoma
SK-N-SH	717431	autonomic_ganglia	neuroblastoma
TE-9	946353	oesophagus	carcinoma
D-542MG	753549	central_nervous_system	glioma
NBsusSR	925342	autonomic_ganglia	neuroblastoma
LK-2	687787	lung	carcinoma
HCC1937	749714	breast	carcinoma
H2461	1290810	pleura	mesothelioma
SNU-61	1660035	large_intestine	carcinoma
NCI-H2342	687819	lung	carcinoma
YKG-1	687592	central_nervous_system	glioma
TASK1	1299067	bone	Askins_tumour
NB1	949179	autonomic_ganglia	neuroblastoma
A101D	910921	skin	malignant_melanoma
RO82-W-1	930083	thyroid	carcinoma
ESO26	1503366	oesophagus	carcinoma
H2731	1240134	pleura	mesothelioma
KYSE-140	753573	oesophagus	carcinoma
JURL-MK1	1327771	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm
RVH-421	909706	skin	malignant_melanoma
TYK-nu	909774	ovary	carcinoma
KY821	907300	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm
MDA-MB-231	905960	breast	carcinoma
MHH-PREB-1	908136	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
NCI-H1437	687794	lung	carcinoma
BxPC-3	906693	pancreas	carcinoma
T-T	1299064	oesophagus	carcinoma
NCI-H1781	1298350	lung	carcinoma
Set2	1659820	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm
EFM-19	906851	breast	carcinoma
KARPAS-299	907273	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
FADU	906863	upper_aerodigestive_tract	carcinoma
SK-MEL-3	909724	skin	malignant_melanoma
BICR22	1240121	upper_aerodigestive_tract	carcinoma
JEKO-1	1327765	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
SBC-5	713880	lung	carcinoma
RL	910861	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
VCaP	1299075	prostate	carcinoma
CAL-72	906827	bone	osteosarcoma
BE2-M17	753616	autonomic_ganglia	neuroblastoma
UWB1_289	1480374	ovary	carcinoma
Hey	1479988	ovary	carcinoma
SLVL	1331032	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
HN	907059	upper_aerodigestive_tract	carcinoma
SW13	909744	adrenal_gland	adrenal_cortical_carcinoma
HCC-44	1240145	lung	carcinoma
RCC10RGB	909974	kidney	carcinoma
639-V	906798	urinary_tract	carcinoma
MS751	1240179	cervix	carcinoma
LB831-BLC	753584	urinary_tract	carcinoma
GCT	906999	soft_tissue	malignant_fibrous_histiocytoma-pleomorphic_sarcoma
TGBC11TKB	909770	stomach	carcinoma
NCI-H1417	688001	lung	carcinoma
PANC-08-13	925347	pancreas	carcinoma
LCLC-103H	753586	lung	carcinoma
DMS-273	687985	lung	carcinoma
LCLC-97TM1	946361	lung	carcinoma
MOLT-16	908147	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
NCC010	1509073	kidney	carcinoma
UACC-893	909778	breast	carcinoma
EFO-21	911905	ovary	carcinoma
CCRF-CEM	905952	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
NCI-H2141	688014	lung	carcinoma
KMOE-2	907280	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm
HCC-827	1240146	lung	carcinoma
LOU-NH91	1298226	lung	carcinoma
SNU-283	1659929	large_intestine	carcinoma
Hs746T	1240151	stomach	carcinoma
CESS	910688	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm
HSC-39	1322224	stomach	carcinoma
TGBC24TKB	910695	biliary_tract	carcinoma
SKM-1	909722	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm
ECC12	906849	stomach	carcinoma
RERF-LC-FM	930081	lung	carcinoma
NB10	949171	autonomic_ganglia	neuroblastoma
SW684	909754	soft_tissue	fibrosarcoma
HCC-15	1240143	lung	carcinoma
NCI-H2081	908480	lung	carcinoma
D-247MG	946367	central_nervous_system	glioma
MEL-JUSO	908125	skin	malignant_melanoma
MOLT-13	908146	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
KELLY	753618	autonomic_ganglia	neuroblastoma
LC-1-sq	1298223	lung	carcinoma
SNB75	905982	central_nervous_system	glioma
BL-41	910706	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm
HCE-4	753559	oesophagus	carcinoma
HT-1376	907066	urinary_tract	carcinoma
NCI-H69	688027	lung	carcinoma
NH-12	908447	autonomic_ganglia	neuroblastoma
PFSK-1	683667	central_nervous_system	primitive_neuroectodermal_tumour-medulloblastoma
SK-GT-4	1503365	oesophagus	carcinoma
MFE-296	908130	endometrium	carcinoma
D-263MG	946368	central_nervous_system	glioma
LB996-RCC	753585	kidney	carcinoma
NCI-H292	753604	lung	carcinoma
CAPAN-1	753624	pancreas	carcinoma
MDA-MB-435	905988	skin	malignant_melanoma
NCI-H1944	1240185	lung	carcinoma
ESS-1	907000	endometrium	carcinoma
VMRC-RCW	1240224	kidney	carcinoma
